mm_yyyy,num_all_pdfs,time_contratacion,num_contratacion_pdfs,time_anuncio,num_anuncio_pdfs,time_formalizacion,num_formalizacion_pdfs,execution_date
01-2016,3785,268.7725157737732,1394,23.74293851852417,205,20.3095121383667,536,2024-06-12 10:30:36
02-2016,5437,1237.3495962619781,1468,23.2358181476593,152,20.825373888015747,507,2024-06-12 12:48:10
03-2016,5804,206.02447605133057,1555,25.503661155700684,118,23.852322816848755,415,2024-06-12 15:11:26
04-2016,6908,228.95949244499207,2038,34.00066065788269,206,31.081802129745483,516,2024-06-12 17:56:19
05-2016,7266,300.62859892845154,1876,30.424338817596436,191,27.891502380371094,435,2024-06-12 20:54:39
06-2016,8093,296.1718134880066,1976,32.55088567733765,177,30.234209537506104,443,2024-06-12 23:45:15
07-2016,6533,266.27654552459717,2094,34.784974336624146,234,31.655869960784912,447,2024-06-13 01:59:11
08-2016,3825,626.0845758914948,1937,33.40173888206482,207,30.38775873184204,394,2024-06-13 03:40:12
09-2016,7051,360.07862544059753,1846,30.190954208374023,200,27.544296741485596,513,2024-06-13 06:16:56
10-2016,8653,285.4943039417267,2050,35.73213768005371,126,33.8661630153656,549,2024-06-13 09:27:29
11-2016,9596,401.6397559642792,1920,32.05075168609619,149,29.856364488601685,530,2024-06-13 12:55:31
12-2016,7696,455.33728408813477,1841,30.038581371307373,180,27.503856658935547,567,2024-06-13 15:50:38
01-2017,6798,1522.1029181480408,1821,29.86281728744507,204,26.437685012817383,637,2024-06-13 19:02:38
02-2017,8261,484.5027618408203,1829,28.817595958709717,161,26.701939582824707,668,2024-06-13 22:29:43
03-2017,8457,514.4558629989624,2054,34.60330557823181,206,31.762797117233276,579,2024-06-14 01:56:33
04-2017,7775,826.7862849235535,2103,35.038047552108765,178,32.504112005233765,483,2024-06-14 05:00:48
05-2017,8145,836.2320261001587,2219,37.65221905708313,158,35.40376377105713,494,2024-06-14 08:22:13
06-2017,8654,858.3243136405945,2367,39.53110408782959,172,37.0440890789032,542,2024-06-14 12:06:14
07-2017,7545,1514.2143466472626,2623,43.845890283584595,258,40.27213478088379,604,2024-06-14 15:28:20
08-2017,3997,855.7409722805023,2148,37.051464557647705,149,35.124985218048096,423,2024-06-14 17:21:17
09-2017,7776,518.4353446960449,2125,34.769254207611084,246,31.601047039031982,596,2024-06-14 20:16:05
10-2017,8720,557.7121767997742,2617,43.80035710334778,266,40.28335666656494,716,2024-06-14 23:25:44
11-2017,8199,603.0950484275818,2316,37.751195430755615,298,33.73689150810242,685,2024-06-15 02:27:09
12-2017,7920,774.4004507064819,2259,37.08456563949585,366,31.935520887374878,619,2024-06-15 05:26:26
01-2018,7070,669.9180505275726,2226,35.889976978302,314,30.840392112731934,731,2024-06-15 08:14:03
02-2018,7951,492.68113231658936,2373,39.10415840148926,252,35.52049708366394,677,2024-06-15 11:21:37
03-2018,9162,363.73382210731506,3363,62.23412847518921,235,58.319289684295654,474,2024-06-15 14:46:54
04-2018,6581,452.9812409877777,1125,18.39470672607422,252,13.747078895568848,525,2024-06-15 17:21:47
05-2018,6356,269.4035198688507,973,15.415326833724976,232,11.082350969314575,493,2024-06-15 19:50:58
06-2018,7529,454.364862203598,1200,19.39321541786194,312,13.404550075531006,628,2024-06-15 22:46:52
07-2018,5832,357.9714479446411,1235,21.116085052490234,341,14.801254749298096,534,2024-06-16 00:57:50
08-2018,2922,1851.8308281898499,1000,105.26665782928467,279,66.70905923843384,309,2024-06-16 02:37:55
09-2018,6179,2207.2428364753723,1028,88.26616191864014,260,63.63184857368469,450,2024-06-16 05:35:48
10-2018,7030,2741.8314397335052,1214,120.97380828857422,443,69.01637172698975,338,2024-06-16 08:46:39
11-2018,6327,2064.746479034424,999,102.98347568511963,408,60.27102255821228,223,2024-06-16 11:49:41
12-2018,6525,2171.568836450577,1068,106.56467819213867,581,50.712050437927246,114,2024-06-16 15:01:28
01-2019,5124,1543.8365490436554,876,81.34052753448486,351,48.17513704299927,158,2024-06-16 17:39:14
02-2019,6232,1543.04762673378,709,75.17886924743652,286,45.81817889213562,93,2024-06-16 20:29:19
03-2019,7210,1730.12730884552,849,86.9037618637085,335,52.62005257606506,90,2024-06-16 23:54:32
04-2019,6720,1838.2453150749207,826,83.64329290390015,315,56.74136543273926,69,2024-06-17 02:42:05
05-2019,6784,1290.5683662891388,876,87.40341639518738,395,52.853944301605225,43,2024-06-17 05:42:13
06-2019,6948,2894.5801408290863,1020,109.07047581672668,433,69.86356449127197,40,2024-06-17 09:06:26
07-2019,5987,1869.0646650791168,1244,124.63776707649231,556,78.3983039855957,43,2024-06-17 12:04:10
08-2019,3585,3395.1016061306,838,89.525306224823,357,56.09233355522156,11,2024-06-17 14:35:30
09-2019,6077,2482.674042701721,881,113.14680552482605,476,60.08754754066467,7,2024-06-19 12:57:00
10-2019,7082,2516.929937839508,1072,131.36918759346008,608,66.06078124046326,11,2024-06-19 15:45:25
11-2019,7225,2313.280225276947,1163,149.3296205997467,721,64.46165490150452,11,2024-06-19 18:31:56
12-2019,6123,2451.468999147415,1144,138.7654914855957,765,57.40388751029968,6,2024-06-19 21:02:48
