pdf,mm_yyyy,company,amount,currency,adjudicadora,tipo,tramitacion,procedimiento,model,time
BOE-B-2017-3514.pdf,01-2017,Alavés Montajes y Realización S.L.,1016400.0,euros,Agència Valenciana del Turisme,Contrato Mixto,Urgente,Negociado sin publicidad,llama3,404.64
BOE-B-2017-240.pdf,01-2017,International Business Machines S.A. (I.B.M.),3921166.68,euros,Diputación Foral de Álava,Contrato de suministro,Anticipada,Negociado sin publicidad por razones de exclusividad técnica,llama3,411.99
BOE-B-2017-2859.pdf,01-2017,Integra Mantenimiento Gestión y Servicios Integrados Centro Especial de Empleo S.L.,440618.45,euros,Ayuntamiento de Madrid. Área de Gobierno de Equidad Derechos Sociales y Empleo,Servicios,Ordinaria,Abierto,llama3,352.15
BOE-B-2017-470.pdf,01-2017,Teknoservice S.L.,1011150.0,euros,Consejería de Educación y Universidades del Gobierno de Canarias,Suministro,Ordinaria,Abierto,llama3,368.93
BOE-B-2017-4174.pdf,01-2017,Econocom Osiatis S.A.,360000.0,euros,Ayuntamiento de Vitoria-Gasteiz,Servicio,Normal,Abierto,llama3,414.85
BOE-B-2017-2824.pdf,01-2017,Medtronic Ibérica S.A.,367540.93,euros,Corporació Sanitària Parc Taulí.,Suministro,Anticipada anual,Negociado (armonizado) sin publicidad,llama3,312.70
BOE-B-2017-3892.pdf,01-2017,Instrumentación y Componentes S.A.,8612175.0,euros,None,Servicio,Ordinaria,Abierto,llama3,440.04
BOE-B-2017-4398.pdf,01-2017,Itma slu,231110.0,euros,Instituto Social de la Marina,Servicios,Ordinaria,Abierto,llama3,317.40
BOE-B-2017-5460.pdf,01-2017,Asisa Asistencia Sanitaria Interprovincial de Seguros S.A.U.,580000.0,euros,Ayuntamiento de Mijas,Privado,Ordinaria,Abierto,llama3,323.11
BOE-B-2017-3475.pdf,01-2017,SOLDENE S.A,274863.6,euros,Presidencia de la Confederación Hidrográfica del Ebro,Contrato de Servicios,Ordinaria,Abierto,llama3,493.96
BOE-B-2017-5435.pdf,01-2017,Redyser Transportes S.L. Lote 1,287070.08,euros,Conselleria de Sanidad Universal y Salud Pública,Servicio,Ordinaria,Abierto,llama3,326.92
BOE-B-2017-5745.pdf,01-2017,Mapfre España Compañía de Seguros y Reaseguros SA.,185000.0,euros,Ayuntamiento de Ferrol,Contrato privado de servicios,Ordinaria,Abierto con pluralidad de criterios de valoración y sujeto a regulación armonizada,llama3,421.96
BOE-B-2017-2564.pdf,01-2017,Valoriza Facilities S.A.U.,139997.0,euros,Agencia Estatal Consejo Superior de Investigaciones Científicas,Contrato de Servicios,Ordinaria,Abierto,llama3,337.61
BOE-B-2017-4410.pdf,01-2017,None,388000.0,euros,Osakidetza-Servicio Vasco de Salud,Contrato de suministro,Ordinaria,Abierto,llama3,363.26
BOE-B-2017-3566.pdf,01-2017,None,478259.19,euros,Junta de Gobierno Local. Ayuntamiento de Pozuelo de Alarcón,Obras,Ordinaria,Abierto,llama3,412.47
BOE-B-2017-1328.pdf,01-2017,Base 10 Informática S.L.,436568.0,euros,Excmo. Ayuntamiento de Castellón de la Plana,Mixto.,Urgente,Abierto,llama3,341.01
BOE-B-2017-4278.pdf,01-2017,Ferroser Servicios Auxiliares,11566382.26,euros,Osakidetza-SVS,Servicios,Ordinaria,Abierto,llama3,308.84
BOE-B-2017-1058.pdf,01-2017,3M España S.L.,5034358.11,euros,Servicio Aragonés de Salud,Contrato de suministro,Ordinaria,Abierto,llama3,1149.78
BOE-B-2017-4312.pdf,01-2017,Proforma Ejecución de Obras y Restauraciones S.L.,113553.37,euros,Ayuntamiento de Pinto (Madrid),Contrato de obras,Ordinaria,Abierto,llama3,332.13
BOE-B-2017-4505.pdf,01-2017,Masfalt S.A.,5301289.05,euros,Consejería de Fomento y Vivienda,Contrato de obras,None,None,llama3,350.39
